"UPI Banks
","Volume (Mn) By Costumers
","Value (Cr) by Costumers
","Volume (Mn)
",Value (Cr),Month,Year
Airtel Payments Bank Apps,8.53,"2,047.45",13.22,"4,729.77",1,2022
Airtel Payments Bank Apps,5.8,"1,199.46",7.58,"2,210.17",2,2022
Airtel Payments Bank Apps,8.33,"1,934.41",13.16,"4,492.25",3,2022
Airtel Payments Bank Apps,5.29,454.64,5.3,460.9,4,2022
Airtel Payments Bank Apps,6.1,486.55,6.11,486.62,5,2022
Airtel Payments Bank Apps,6.38,506.14,6.38,506.2,6,2022
Airtel Payments Bank Apps,7.4,555.09,7.41,555.26,7,2022
Allahabad Bank App,0.02,7.36,0.02,7.36,1,2022
Allahabad Bank App,0.02,6.28,0.02,6.28,2,2022
Allahabad Bank Apps,0.02,6.15,0.02,6.15,3,2022
Allahabad Bank Apps,0.02,6.25,0.02,6.25,5,2022
Allahabad Bank Apps,0.02,6.79,0.02,6.79,6,2022
Allahabad Bank Apps,0.03,6.95,0.03,6.95,7,2022
Amazon Pay,73.5,"6,729.66",73.5,"6,729.66",1,2022
Amazon Pay,63.49,"6,044.47",63.49,"6,044.47",2,2022
Amazon Pay,76.34,"6,894.78",76.34,"6,894.78",3,2022
Amazon Pay,73.21,"6,699.57",73.21,"6,699.57",4,2022
Amazon Pay,74.83,"6,954.18",74.83,"6,954.18",5,2022
Amazon Pay,68.4,"6,541.84",68.4,"6,541.84",6,2022
Amazon Pay,68.77,"6,751.80",68.77,"6,751.80",7,2022
AU Small Finance Bank App,0.23,81.15,0.23,81.15,1,2022
AU Small Finance Bank App,0.25,89.36,0.25,89.36,2,2022
AU Small Finance Bank Apps,0.29,104.48,0.29,104.48,3,2022
AU Small Finance Bank Apps,0.32,109.89,0.32,109.89,4,2022
AU Small Finance Bank Apps,0.35,107.22,0.35,107.22,5,2022
AU Small Finance Bank Apps,0.38,120.24,0.38,120.24,6,2022
AU Small Finance Bank Apps,0.42,131.49,0.42,131.49,7,2022
Axis Bank Apps,6.78,"1,058.77",47.25,"1,093.02",1,2022
Axis Bank Apps,6.9,"1,366.34",54.78,"1,405.26",2,2022
Axis Bank Apps,7.09,"1,045.13",61.29,"1,084.94",3,2022
Axis Bank Apps,7.19,"1,213.44",64.03,"1,257.15",4,2022
Axis Bank Apps,7.46,"1,372.31",58.66,"1,425.16",5,2022
Axis Bank Apps,6.96,"1,217.71",52.6,"1,268.38",6,2022
Axis Bank Apps,7.35,"1,174.32",53.99,"1,213.95",7,2022
Bajaj Finserv,0.24,12.88,0.24,12.88,1,2022
Bajaj Finserv,0.33,19.32,0.33,19.32,2,2022
Bajaj Finserv,0.35,24.08,0.35,24.08,3,2022
Bajaj Finserv,0.52,38.61,0.52,38.61,4,2022
Bajaj Finserv,0.79,58.53,0.79,58.53,5,2022
Bajaj Finserv,1.16,85.49,1.16,85.49,6,2022
Bajaj Finserv,1.95,128.52,1.95,128.52,7,2022
Bajaj Markets,0.01,1.2,0.01,1.2,6,2022
Bajaj Markets,0.02,1.66,0.02,1.66,7,2022
Bandhan Bank Apps,0.01,1.35,0.01,1.35,7,2022
Bank of Baroda Apps,0.71,342.85,0.71,342.85,1,2022
Bank of Baroda Apps,0.67,330.69,0.67,330.69,2,2022
Bank of Baroda Apps,0.69,328.61,0.69,328.61,3,2022
Bank of Baroda Apps,0.77,344.65,0.77,344.65,4,2022
Bank of Baroda Apps,0.88,406.79,0.88,406.79,5,2022
Bank of Baroda Apps,0.83,347.72,0.83,347.72,6,2022
Bank of Baroda Apps,0.88,354.45,0.88,354.45,7,2022
Bank of India App,0.05,20.23,0.05,20.23,1,2022
Bank of India App,0.05,21.28,0.05,21.28,2,2022
Bank of India Apps,0.08,26.22,0.08,26.22,3,2022
Bank of India Apps,0.1,32.62,0.1,32.62,4,2022
Bank of India Apps,0.12,40.04,0.12,40.04,5,2022
Bank of India Apps,0.13,41.82,0.13,41.82,6,2022
Bank of India Apps,0.15,46.44,0.15,46.44,7,2022
Bank of Maharashtra App,0.05,12.46,0.05,12.46,1,2022
Bank of Maharashtra App,0.05,12.49,0.05,12.49,2,2022
Bank of Maharashtra Apps,0.05,15,0.05,15,3,2022
Bank of Maharashtra Apps,0.05,14.56,0.05,14.56,4,2022
Bank of Maharashtra Apps,0.06,16.47,0.06,16.47,5,2022
Bank of Maharashtra Apps,0.06,15.77,0.06,15.77,6,2022
Bank of Maharashtra Apps,0.06,16.47,0.06,16.47,7,2022
BHIM,25.82,"8,511.91",25.82,"8,511.91",1,2022
BHIM,23.25,"7,891.86",23.25,"7,891.86",2,2022
BHIM,24.88,"8,050.24",24.88,"8,050.24",3,2022
BHIM,25.69,"8,354.34",25.69,"8,354.34",4,2022
BHIM,26.57,"9,559.66",26.57,"9,559.66",5,2022
BHIM,22.6,"7,527.98",22.6,"7,527.98",6,2022
BHIM,24.48,"7,823.95",24.48,"7,823.95",7,2022
Canara Bank App,0.26,98.95,0.26,98.95,1,2022
Canara Bank App,0.26,95.78,0.26,95.78,2,2022
Canara Bank Apps,0.31,109.68,0.31,109.68,3,2022
Canara Bank Apps,0.31,110.31,0.31,110.31,4,2022
Canara Bank Apps,0.33,114.09,0.33,114.09,5,2022
Canara Bank Apps,0.34,109.78,0.34,109.78,6,2022
Canara Bank Apps,0.47,128.79,0.47,128.79,7,2022
Central Bank of India App,0.13,47.33,0.13,47.33,1,2022
Central Bank of India App,0.12,45.26,0.12,45.26,2,2022
Central Bank of India Apps,0.14,50.67,0.14,50.67,3,2022
Central Bank of India Apps,0.13,51.04,0.13,51.04,4,2022
Central Bank of India Apps,0.15,55.4,0.15,55.4,5,2022
Central Bank of India Apps,0.15,54.06,0.15,54.06,6,2022
Central Bank of India Apps,0.22,58.37,0.22,58.37,7,2022
Citi Bank App,0.09,77.8,0.09,77.8,1,2022
Citi Bank App,0.08,69.22,0.08,69.22,2,2022
Citi Bank Apps,0.11,68.41,0.11,68.41,3,2022
